,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
+ Pension Liabilities,0,0,0,0,0,0,0,0,0,0,0
+ Deferred Revenue,0,0,0,0,0,0,0,0,0,0,0
+ Deferred Tax Liabilities,0,0,0,0,0,0,0,0,0,0,0
+ Derivatives & Hedging,0,0,0,0,0,0,0,0,0,0,0
+ Misc LT Liabilities,0,23,84,83,86,118,93,162,168,234,185
Total Noncurrent Liabilities,0,24,394,1223,1207,1165,1013,1729,1910,2281,2233
Total Liabilities,0,244,719,1597,1626,1606,1448,2268,2592,2956,2789
+ Preferred Equity and Hybrid Capital,0,0,0,0,0,0,0,0,0,0,0
+ Share Capital & APIC,0,1284,6584,5443,5357,5237,4687,4290,4245,4036,3821
+ Common Stock,0,1284,6584,5443,5357,5237,4687,4290,4245,4036,3821
+ Additional Paid in Capital,0,0,0,0,0,0,0,0,0,0,0
- Treasury Stock,0,0,0,0,0,0,0,0,0,0,0
+ Retained Earnings,0,-607,-411,-440,-456,-459,-321,0,355,512,84
+ Other Equity,0,-1,0,-3,-4,-3,-7,2,30,5,-3
Equity Before Minority Interest,0,676,6173,5000,4897,4776,4360,4293,4629,4553,3903
+ Minority/Non Controlling Interest,0,0,0,0,0,0,0,0,0,0,0
Total Equity,0,676,6173,5000,4897,4776,4360,4293,4629,4553,3903
Total Liabilities & Equity,0,920,6892,6597,6522,6382,5808,6561,7221,7509,6692
Shares Outstanding,148,148,149,127,126,126,119,115,113,106,99
Capital Leases - Total,0,0,0,0,0,0,0,0,0,0,0
Net Debt,0,-85,-300,562,444,57,208,859,350,1075,1239
Net Debt to Equity,0,-12.51,-4.86,11.25,9.06,1.20,4.78,20.02,7.56,23.60,31.75
Tangible Common Equity Ratio,0,68,71,40,45,52,55,28,35,27,18
Current Ratio,0,2.44,4.61,4.04,3.49,4.18,3.87,3.14,3.64,3.63,3.65
Cash Conversion Cycle,0,35.95,98.31,94.27,82.62,91.45,95.41,94.35,77.00,93.13,126.83
Number of Employees,0,0,6700,7300,8600,8300,8100,7900,8400,8900,8500
